product_name,product_category,product_price,product_description,brand_name,stock_quantity,manufacturer,sku,weight,color
Dish Rack,Kitchen,6629.64,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Demimbu,577,Rooxo,51079-824,90.9,Purple
Smartphone UV Sanitizer,Health,4453.53,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Zoomdog,58,Trudoo,49349-802,88.1,Blue
Silicone Stretch Lids,Kitchen,2739.92,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Rooxo,,Flashspan,64942-1193,48,Aquamarine
Coconut Cashew Yogurt,Food - Dairy Alternatives,5266.16,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Skyba,440,Innojam,67457-423,6.4,Crimson
Cabbage Slaw Mix,Food - Vegetables,760.08,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Photospace,361,Realmix,52959-411,83,Puce
Chicken Parmesan Dinner Kit,Food - Frozen Meals,9887.7,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Oyoyo,661,Twitterlist,52125-147,68.4,Crimson
Floral Summer Dress,Clothing - Dresses,9626.8,,Kanoodle,385,Ozu,16590-030,13.5,Khaki
,Food - Gourmet Rice,5245.52,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",Eadel,661,Mymm,54838-105,11.7,Aquamarine
Hand Crank Blender,Kitchen,8814.68,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Photobean,186,Pixonyx,68788-9860,1.3,Fuscia
Wooden Blocks,Toys,8212.03,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Shufflester,401,Lajo,17238-900,57.9,Khaki
Faux Fur Throw Blanket,Home,9079.37,,Jabbertype,121,Roombo,11822-9026,18.5,Blue
Lemon Zest Olive Oil,Food - Oils & Vinegars,8692.88,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Fiveclub,788,Zoombeat,45963-569,91.9,Aquamarine
Himalayan Salt Grinder,Food - Spices,8116.63,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",Tekfly,471,Reallinks,68788-9917,76.6,Pink
Coconut Granola,Food - Snacks,9639.28,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Flashpoint,113,Eare,0264-7385,29.9,Yellow
Luxury Bath Salts,Beauty,3418.26,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",Meemm,849,Eazzy,43406-0033,14.5,Red
Air Purifier,Home,5564.77,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Dynazzy,369,Thoughtworks,43063-234,86.8,Maroon
Wireless Earbuds Case,Accessories,9711.29,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Voonix,911,Voomm,10578-039,59.9,Puce
Garden Tool Set,Garden,328.43,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Twitterbeat,44,Browsezoom,51367-002,1,Turquoise
Water Bottle,Fitness,5096.48,,Jaxbean,979,Tazzy,43063-087,56.9,Fuscia
Spaghetti Sauce,Food - Canned Goods,5055.22,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Browsedrive,325,Twitternation,50563-148,3.8,Puce
Utility Cargo Pants,Clothing - Pants,644.72,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Voonix,232,Tagchat,65055-201,98.1,Green
Cold Brew Coffee Concentrate,Food - Beverages,9946.44,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Kaymbo,643,Reallinks,43063-521,67.8,Aquamarine
Frozen Salmon Filets,Food - Seafood,5998.41,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Devify,423,Yakidoo,14789-500,10.4,Turquoise
Electrolyte Water Bottle,Fitness,2864.01,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Realcube,640,Yakijo,21695-078,36,Fuscia
Luminous Night Light,Home,174.81,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Zoonoodle,80,Devpulse,11822-0529,23.7,Blue
Pleated Midi Dress,Clothing - Dresses,8682.49,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",Snaptags,713,Lazzy,42291-850,56.5,Fuscia
